lcoreID,numFlows,numFlowsCreated,hits,miss,slowpath,localHits,Time,slowpath_ratio,hits_ratio,miss_ratio,hits_to_miss_ratio,miss_to_hits_ratio
0,-1,14,25387232,14,34067,11483961,66,0.0009230929974940709,0.9990765276529311,3.793495748060291e-07,0.9999996202999267,3.797000732848263e-07
1,0,13,28366364,13,2120,8574339,66,5.7385957049967685e-05,0.9999422621479304,3.518950196460283e-07,0.9999996480847854,3.5191521463742066e-07
2,0,12,23013579,12,4349,12900090,66,0.00012108125083697519,0.9998785846551161,3.340940469173838e-07,0.9999996658654957,3.3413450434111724e-07
3,0,14,26110071,14,2133,10522259,66,5.822384198360468e-05,0.9999413940043419,3.8215367452905085e-07,0.9999996178240738,3.8217592627979255e-07
4,0,15,22183017,15,4347,13808934,66,0.00012076236807919745,0.9998788209225762,4.1670934464871446e-07,0.9999995832403265,4.167596735338103e-07
5,0,10,21342963,10,4359,14279421,66,0.00012235187416602348,0.9998773674378915,2.8068794256945057e-07,0.9999997192777106,2.807222894676871e-07
6,0,17,28668384,17,2122,8230121,66,5.750577144398889e-05,0.9999420335319893,4.606965667049063e-07,0.9999995392769391,4.607230609399477e-07
7,0,21,28763889,21,2130,8300277,66,5.7464570866320494e-05,0.9999419688770266,5.665521071327373e-07,0.9999994334153344,5.665846656774098e-07
8,0,14,24772180,14,4391,10784792,66,0.0001234766583982392,0.9998761296560592,3.936855426042698e-07,0.9999996062658404,3.937341595825923e-07
9,0,17,28806135,17,2121,7656355,66,5.8165957431404486e-05,0.9999413678373463,4.662052222224782e-07,0.9999995337676589,4.662323410729822e-07
10,0,14,24944616,14,4356,10940253,66,0.00012137342895456769,0.9998782364819716,3.9008907377501095e-07,0.9999996098635741,3.901364259707911e-07
11,0,17,25348650,17,4381,10906412,66,0.00012082364160966545,0.999878707515225,4.688431653422307e-07,0.9999995311001805,4.688998195259759e-07
