lcoreID,numFlowsCreated,hits,miss,slowpath,localHits,Time,slowpath_ratio,hits_ratio,miss_ratio,hits_to_miss_ratio,miss_to_hits_ratio
0,17,26481298,17,33991,10300144,66,0.0009232808508384387,0.9990762573865049,4.6176265671070164e-07,0.9999995378106127,4.621893873214763e-07
1,14,27836767,14,2116,8623639,66,5.803216759251194e-05,0.9999415838766673,3.8395574021510736e-07,0.9999996160219767,3.839780232921069e-07
2,15,22715602,15,4318,12736280,66,0.00012178400881199531,0.9998777929341865,4.230570014312018e-07,0.9999995768914707,4.231085292840606e-07
3,18,27934936,18,2112,9074055,66,5.7063929514591035e-05,0.9999424497301771,4.863403083629917e-07,0.9999995136319375,4.863680624358247e-07
4,12,22994442,12,4356,12758276,66,0.00012182200753159807,0.9998778423946515,3.355978168914547e-07,0.999999664361295,3.3563870507231196e-07
5,12,23166849,12,4311,12853883,66,0.00011966671529023342,0.9998800001832058,3.3310150393941103e-07,0.9999996668586302,3.33141369872871e-07
6,13,28339872,13,2098,8461789,66,5.7005026549996014e-05,0.999942641748786,3.532246640371536e-07,0.9999996467551993,3.532448007663999e-07
7,14,27921461,14,2106,9024010,66,5.6999656621726705e-05,0.999942621428282,3.789150962507948e-07,0.9999996210633045,3.7893669551232037e-07
8,13,23773497,13,4329,12114247,66,0.00012061154651195253,0.9998790262566517,3.621968363722298e-07,0.9999996377594732,3.622405267623719e-07
9,16,27299571,16,2119,9400188,66,5.773544002933473e-05,0.9999418286151663,4.3594480437440093e-07,0.9999995640300247,4.3596997529276404e-07
10,12,24509475,12,4397,11255840,66,0.0001229251866746302,0.9998767393340804,3.354792449614652e-07,0.9999996644795112,3.355204888801939e-07
11,9,23742939,9,4299,12235801,66,0.00011947292513963798,0.9998802769570827,2.501177776824242e-07,0.9999997498523364,2.5014766355550606e-07
