Opening files sched-stats-30sec.txt and net-stats-DvsPortset-2-30sec.txt
Scheduler stats
vCPU affinity info for n294-esxi-ht-04.sc.sero.gic.ericsson.se
Iteration Number=0
+----------------------------------------------+----------+-------+--------------------+--------------+------+
|                     Name                     |    Id    |  used | latencySensitivity | vcpu_exclaff | node |
+----------------------------------------------+----------+-------+--------------------+--------------+------+
| vmx-vcpu-0:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867623 | 100.0 |         -1         |     107      |  1   |
| vmx-vcpu-1:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867625 | 100.0 |         -1         |     106      |  1   |
| vmx-vcpu-2:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867626 | 100.0 |         -1         |      72      |  1   |
| vmx-vcpu-3:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867627 | 100.0 |         -1         |      73      |  1   |
| vmx-vcpu-4:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867628 | 100.0 |         -1         |      76      |  1   |
| vmx-vcpu-5:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867629 | 100.0 |         -1         |      77      |  1   |
| vmx-vcpu-6:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867630 | 100.0 |         -1         |      95      |  1   |
| vmx-vcpu-7:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867631 | 100.0 |         -1         |      94      |  1   |
| vmx-vcpu-8:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867632 | 100.0 |         -1         |      80      |  1   |
| vmx-vcpu-9:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867633 | 100.0 |         -1         |      81      |  1   |
| vmx-vcpu-10:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867634 | 100.0 |         -1         |      62      |  1   |
| vmx-vcpu-11:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867635 | 100.0 |         -1         |      63      |  1   |
| vmx-vcpu-12:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867636 | 100.0 |         -1         |      60      |  1   |
| vmx-vcpu-13:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867637 | 100.0 |         -1         |      61      |  1   |
| vmx-vcpu-14:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867638 | 100.0 |         -1         |      58      |  1   |
| vmx-vcpu-15:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867639 | 100.0 |         -1         |      59      |  1   |
| vmx-vcpu-16:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867640 | 100.0 |         -1         |     104      |  1   |
| vmx-vcpu-17:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867641 | 100.0 |         -1         |     105      |  1   |
| vmx-vcpu-18:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867642 | 100.0 |         -1         |      66      |  1   |
| vmx-vcpu-19:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867643 | 100.0 |         -1         |      67      |  1   |
