cpu node sched    preempt  timer    ipi      elapsedsec    usedsec       idlesec       hltsec        partnerBusyTime bwait         anonsec       handoff  handoffF handoffSF hltEnd   hltIntr  rdispatch  rchoose    irebalresched irebalFailed htWholeCore   htIdleIPI  htSwIPI    htTagAbort htPreempt   exclusiveTo  execStatus   
0   0    6965284  0        0        43848    1216453.725   1214902.456   715.628       1240.677      306.552         0.000         230.268       1        0        0         560455   359515   28         179        0             0            0             0          0          0          0           2103965      0            
1   0    6165378  0        0        226      1216453.725   120.013       715.628       1215832.961   0.945           0.000         114.156       1        0        0         121701098 121656815 1        9          0             0            0             0          0          0          0           2097153      0            
2   0    6655189  0        0        1439     1216453.725   121.982       723.011       1215814.744   0.962           0.000         117.442       2        0        0         121946722 121758573 10       76         0             0            0             0          0          0          0           2097154      0            
3   0    6416953  0        0        41154    1216453.725   1214885.721   723.011       1248.959      315.890         0.000         91.298        0        0        0         253793   190274   4          17         1             0            0             0          0          0          0           2103966      0            
4   0    674720611 0       0        9483017  1216453.725   186144.514    424301.330    540438.722    175021.386      0.000         506.163       1386     0        0         475592280 227951985 99808    1250451    1590          0            0             0          0          0          0           29912217     0            
5   0    523124277 0       0        5434773  1216453.725   181706.552    424301.330    467749.504    175340.667      0.000         378.572       447      0        0         349125269 179596503 46828    846797     1545          0            0             0          0          0          0           29912218     0            
6   0    1026017896 0      0        14361915 1216453.725   120684.961    535251.619    638356.157    13940.548       0.000         760.504       7393     0        0         701408196 209606544 35990    1152003    11488         0            0             0          0          0          0           29912193     0            
7   0    1258128581 0      0        11624281 1216453.725   25265.526     535251.619    853803.321    12791.416       0.000         829.971       5117     0        0         767220707 266727464 23599    1322874    11090         0            0             0          0          0          0           29912194     0            
8   0    6586121  0        0        894      1216453.725   117.695       722.041       1215828.166   0.949           0.000         115.798       0        0        0         121888489 121742633 7        28         0             0            0             0          0          0          0           2097160      0            
9   0    6155036  0        0        40998    1216453.725   1214891.947   722.041       1248.202      310.428         0.000         93.292        0        0        0         141557   130234   5          12         0             0            0             0          0          0          0           2103970      0            
10  0    359942359 0       0        3961030  1216453.725   148402.074    423793.965    523083.740    139948.811      0.000         308.553       639      0        0         305932632 195868671 20217    436736     436           0            0             0          0          0          0           29912215     0            
11  0    629198902 0       0        5608103  1216453.725   220463.722    423793.965    492475.937    138554.780      0.000         301.236       466      0        0         408010683 216080201 23648    696374     376           0            0             0          0          0          0           29912216     0            
12  0    6630624  0        0        41611    1216453.725   1214890.323   720.397       1247.955      311.937         0.000         98.161        0        0        0         461604   269075   0          20         0             0            0             0          0          0          0           2103967      0            
13  0    6227742  0        0        516      1216453.725   122.607       720.397       1215822.330   1.002           0.000         116.815       0        0        0         121763971 121692468 2        34         3             0            0             0          0          0          0           2097165      0            
14  0    586816642 0       0        6062600  1216453.725   228381.056    343300.543    528327.421    219461.710      0.000         340.542       511      0        0         411743961 233709480 26901    745877     630           0            0             0          0          0          0           29912210     0            
15  0    701526086 0       0        6017674  1216453.725   301471.582    343300.543    486339.405    219343.551      0.000         318.594       490      0        0         444253770 238666175 22946    827788     395           0            0             0          0          0          0           29912209     0            
16  0    929877279 0       0        9682710  1216453.725   194854.104    418948.131    485368.261    177125.071      0.000         515.346       2071     0        0         595203028 236761347 30485    1128569    5234          0            0             0          0          0          0           29912206     0            
17  0    953916778 0       0        9625522  1216453.725   183703.360    418948.131    606188.098    177060.507      0.000         619.734       1394     0        0         591698647 237744279 30311    1087662    5813          0            0             0          0          0          0           29912205     0            
18  0    733687076 0       0        7561580  1216453.725   147361.683    464550.492    444554.146    133678.258      0.000         369.332       2109     0        0         463605446 233895549 33204    883120     3854          0            0             0          0          0          0           29912220     0            
19  0    719617713 0       0        7109010  1216453.725   139991.057    464550.492    615637.180    134885.409      0.000         364.723       1213     0        0         470916109 243994774 33650    901520     3091          0            0             0          0          0          0           29912219     0            
20  0    190609092 0       0        983071   1216453.725   304092.434    345150.898    408863.912    219314.641      0.000         249.666       264      0        0         191957556 161900303 3640     101047     245           0            0             0          0          0          0           29912204     0            
21  0    277475111 0       0        1852569  1216453.725   222059.495    345150.898    610933.357    219181.602      0.000         226.896       233      0        0         240498170 174024016 7142     233815     200           0            0             0          0          0          0           29912203     0            
22  0    6427070  0        0        41707    1216453.725   1214892.300   722.926       1248.150      310.197         0.000         93.258        1        0        0         339770   212876   3          6          0             0            0             0          0          0          0           2103969      0            
23  0    6158784  0        0        287      1216453.725   115.574       722.926       1215829.493   0.967           0.000         113.533       0        0        0         121700561 121656935 0        19         1             0            0             0          0          0          0           2097175      0            
24  0    585802357 0       0        4229811  1216453.725   188786.425    382840.311    495190.731    180386.381      0.000         337.747       362      0        0         410237858 260333829 15264    558439     372           0            0             0          0          0          0           29912214     0            
25  0    565306557 0       0        3960656  1216453.725   261986.678    382840.311    520963.189    180643.516      0.000         276.815       332      0        0         373044916 225846287 15806    560686     312           0            0             0          0          0          0           29912213     0            
26  0    533787509 0       0        5451148  1216453.725   258014.050    387395.259    450370.008    174958.326      0.000         317.371       1779     0        0         362065371 204680152 27773    621194     1074          0            0             0          0          0          0           29912201     0            
27  0    715785130 0       0        6221368  1216453.725   183649.156    387395.259    589855.620    174787.990      0.000         334.466       1397     0        0         457113794 244327277 25972    832368     1088          0            0             0          0          0          0           29912202     0            
