Opening file net-stats-DvsPortset-2-30sec.txt
Sys stats for n294-esxi-ht-04.sc.sero.gic.ericsson.se
Iteration Number=0
|             Name            |    Id    |  used | latencySensitivity | exclaff | sysoverlap | lcoreusage |   pps   |
|         Ens-Lcore-0         | 2103965  | 100.0 |         0          |    0    |    0.02    |    74.4    | 2695640 |
|         Ens-Lcore-1         | 2103966  | 100.0 |         0          |    3    |    0.01    |   100.0    | 2332118 |
|         Ens-Lcore-2         | 2103967  | 100.0 |         0          |    12   |    0.01    |   70.99    | 2709280 |
|         Ens-Lcore-3         | 2103968  | 100.0 |         0          |    39   |    0.01    |   100.0    | 2764476 |
|         Ens-Lcore-4         | 2103969  | 100.0 |         0          |    22   |    0.01    |   100.0    | 3096232 |
|         Ens-Lcore-5         | 2103970  | 100.0 |         0          |    9    |    0.01    |   100.0    | 2717350 |
|         Ens-Lcore-6         | 2103971  | 100.0 |         0          |    99   |    0.0     |    0.0     |    0    |
|         Ens-Lcore-7         | 2103972  | 100.0 |         0          |    86   |    0.0     |    0.0     |    0    |
|         Ens-Lcore-8         | 2103973  | 100.0 |         0          |    92   |    0.0     |    0.1     |   237   |
|         Ens-Lcore-9         | 2103974  | 100.0 |         0          |    79   |    0.0     |    0.0     |    0    |
|         Ens-Lcore-10        | 2103975  | 100.0 |         0          |    56   |    0.0     |    0.0     |    0    |
|         Ens-Lcore-11        | 2103976  | 100.0 |         0          |    71   |    0.0     |    0.0     |    0    |
|         vmnic4-0-tx         | 29777461 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
|         vmnic5-0-tx         | 29777567 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
|         vmnic8-0-tx         | 29777579 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
|         vmnic9-0-tx         | 29777581 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
|     NetWorld-VM-29867497    | 29867498 |  0.12 |         -6         |    -1   |    0.0     |     -      |    -    |
|     NetWorld-VM-29912088    | 29912089 |  0.4  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217866-0-Tx | 29919294 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217866-1-Tx | 29919295 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217866-2-Tx | 29919296 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217866-3-Tx | 29919297 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217866-4-Tx | 29919298 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217866-5-Tx | 29919299 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217866-6-Tx | 29919300 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217865-0-Tx | 29920276 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217865-1-Tx | 29920277 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217865-2-Tx | 29920278 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217865-3-Tx | 29920279 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217865-4-Tx | 29920280 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217865-5-Tx | 29920281 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
| NetWorld-Dev-134217865-6-Tx | 29920282 |  0.0  |         -6         |    -1   |    0.0     |     -      |    -    |
Entires with exclussive affinity
|     Name     |    Id   |  used | latencySensitivity | exclaff | sysoverlap | lcoreusage |   pps   |
| Ens-Lcore-0  | 2103965 | 100.0 |         0          |    0    |    0.02    |    74.4    | 2695640 |
| Ens-Lcore-1  | 2103966 | 100.0 |         0          |    3    |    0.01    |   100.0    | 2332118 |
| Ens-Lcore-2  | 2103967 | 100.0 |         0          |    12   |    0.01    |   70.99    | 2709280 |
| Ens-Lcore-3  | 2103968 | 100.0 |         0          |    39   |    0.01    |   100.0    | 2764476 |
| Ens-Lcore-4  | 2103969 | 100.0 |         0          |    22   |    0.01    |   100.0    | 3096232 |
| Ens-Lcore-5  | 2103970 | 100.0 |         0          |    9    |    0.01    |   100.0    | 2717350 |
| Ens-Lcore-6  | 2103971 | 100.0 |         0          |    99   |    0.0     |    0.0     |    0    |
| Ens-Lcore-7  | 2103972 | 100.0 |         0          |    86   |    0.0     |    0.0     |    0    |
| Ens-Lcore-8  | 2103973 | 100.0 |         0          |    92   |    0.0     |    0.1     |   237   |
| Ens-Lcore-9  | 2103974 | 100.0 |         0          |    79   |    0.0     |    0.0     |    0    |
| Ens-Lcore-10 | 2103975 | 100.0 |         0          |    56   |    0.0     |    0.0     |    0    |
| Ens-Lcore-11 | 2103976 | 100.0 |         0          |    71   |    0.0     |    0.0     |    0    |
